reference_no,reference_text_joined,source_lines_as_printed,project_text_before_last_location_suffix,last_location_suffix_as_printed,location_split_method,reference_scope,source_pdf_page,source_printed_page,source_column,catalog_text_color,verification_status,verification_note
11,AL HABBI PSS - AFFI PSS / OMAN,AL HABBI PSS - AFFI PSS / OMAN,AL HABBI PSS - AFFI PSS,OMAN,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
12,AL HAMERIYA PETROL STATION - AL BARSHA STATION - ENOC FILLING STATION / UAE,AL HAMERIYA PETROL STATION - AL BARSHA STATION - ENOC FILLING STATION / UAE,AL HAMERIYA PETROL STATION - AL BARSHA STATION - ENOC FILLING STATION,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
13,"AL HILAL PROPERTIES, B+G+3P+31 OFFICE BLDG - DUBAI / UAE","AL HILAL PROPERTIES, B+G+3P+31 OFFICE BLDG - DUBAI / UAE","AL HILAL PROPERTIES, B+G+3P+31 OFFICE BLDG - DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
14,AL TALLAH PETROL STATION / UAE,AL TALLAH PETROL STATION / UAE,AL TALLAH PETROL STATION,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
15,AL-AMARA GAS TURBINES POWER PLANT PROJECT / IRAQ,AL-AMARA GAS TURBINES POWER PLANT PROJECT / IRAQ,AL-AMARA GAS TURBINES POWER PLANT PROJECT,IRAQ,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
16,ALMONDHILL ACIBADEM - ISTANBUL / TURKIYE,ALMONDHILL ACIBADEM - ISTANBUL / TURKIYE,ALMONDHILL ACIBADEM - ISTANBUL,TURKIYE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
17,ANTALYA AIRPORT - ANTALYA / TURKIYE,ANTALYA AIRPORT - ANTALYA / TURKIYE,ANTALYA AIRPORT - ANTALYA,TURKIYE,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
18,ARABIAN CENTER - DUBAI / UAE,ARABIAN CENTER - DUBAI / UAE,ARABIAN CENTER - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
19,ARABIAN RANCHES 2 DEVELOPMENT CAMELIA 1 & 2 PROJECT - DUBAI / UAE,ARABIAN RANCHES 2 DEVELOPMENT CAMELIA 1 & 2 PROJECT - DUBAI / UAE,ARABIAN RANCHES 2 DEVELOPMENT CAMELIA 1 & 2 PROJECT - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
20,"ARABIAN RANCHES II - CAMELIA 258 & 168 HOUSE, WADI AL SAFA - DUBAI / UAE","ARABIAN RANCHES II - CAMELIA 258 & 168 HOUSE, WADI AL SAFA - DUBAI / UAE","ARABIAN RANCHES II - CAMELIA 258 & 168 HOUSE, WADI AL SAFA - DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
21,"ARABIAN RANCHES III DEVELOPMENT PHASE 2B & 2C (CAYA), MAIN WORKS - DUBAI / UAE","ARABIAN RANCHES III DEVELOPMENT PHASE 2B & 2C (CAYA), MAIN WORKS - DUBAI / UAE","ARABIAN RANCHES III DEVELOPMENT PHASE 2B & 2C (CAYA), MAIN WORKS - DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
22,AVON FACTORY - ISTANBUL / TURKIYE,AVON FACTORY - ISTANBUL / TURKIYE,AVON FACTORY - ISTANBUL,TURKIYE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
23,AWALI FIELD DEVELOPMENT FITOUT OF 3X220KV ELECTRICAL SUBSTATION AND 220KV DISTRIBUTION SYSTEM / BAHRAIN,AWALI FIELD DEVELOPMENT FITOUT OF 3X220KV ELECTRICAL SUBSTATION AND || 220KV DISTRIBUTION SYSTEM / BAHRAIN,AWALI FIELD DEVELOPMENT FITOUT OF 3X220KV ELECTRICAL SUBSTATION AND 220KV DISTRIBUTION SYSTEM,BAHRAIN,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
24,BAB HABSHAN 1 DEVELOPMENT PROJECT (PHASE-1) - ABU DHABI / UAE,BAB HABSHAN 1 DEVELOPMENT PROJECT (PHASE-1) - ABU DHABI / UAE,BAB HABSHAN 1 DEVELOPMENT PROJECT (PHASE-1) - ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
25,"BAKU-TBILISI-CEYHAN CRUDE OIL PIPELINE PROJECT (NORTH) / AZERBAIJAN, GEORGIA, TURKIYE","BAKU-TBILISI-CEYHAN CRUDE OIL PIPELINE PROJECT (NORTH) / || AZERBAIJAN, GEORGIA, TURKIYE",BAKU-TBILISI-CEYHAN CRUDE OIL PIPELINE PROJECT (NORTH),"AZERBAIJAN, GEORGIA, TURKIYE",last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
26,"BAKU-TBILISI-CEYHAN CRUDE OIL PIPELINE PROJECT (SOUTH)) / AZERBAIJAN, GEORGIA, TURKIYE","BAKU-TBILISI-CEYHAN CRUDE OIL PIPELINE PROJECT (SOUTH)) / || AZERBAIJAN, GEORGIA, TURKIYE",BAKU-TBILISI-CEYHAN CRUDE OIL PIPELINE PROJECT (SOUTH)),"AZERBAIJAN, GEORGIA, TURKIYE",last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
27,BERMUDA VIEWS TOWER - DUBAI / UAE,BERMUDA VIEWS TOWER - DUBAI / UAE,BERMUDA VIEWS TOWER - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
28,BORWIN 3-EPIC OF OFFSHORE CONVERTOR PLATFORM / GERMANY BTR4128 UREA - GEMLIK GUBRE EPC / TURKIYE,BORWIN 3-EPIC OF OFFSHORE CONVERTOR PLATFORM / GERMANY || BTR4128 UREA - GEMLIK GUBRE EPC / TURKIYE,BORWIN 3-EPIC OF OFFSHORE CONVERTOR PLATFORM / GERMANY BTR4128 UREA - GEMLIK GUBRE EPC,TURKIYE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
29,BU HASA INTEGRATED FIELD DEVELOPMENT PROJECT - ABU DHABI / UAE,BU HASA INTEGRATED FIELD DEVELOPMENT PROJECT - ABU DHABI / UAE,BU HASA INTEGRATED FIELD DEVELOPMENT PROJECT - ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
30,BU HASA OIL FIELD EXPANSION PROJECT - ABU DHABI / UAE,BU HASA OIL FIELD EXPANSION PROJECT - ABU DHABI / UAE,BU HASA OIL FIELD EXPANSION PROJECT - ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
31,BU HASA OVER PRESSURE PROT & WELL HEAD - ABU DHABI / UAE CAIRO AIRPORT / EGYPT,BU HASA OVER PRESSURE PROT & WELL HEAD - ABU DHABI / UAE || CAIRO AIRPORT / EGYPT,BU HASA OVER PRESSURE PROT & WELL HEAD - ABU DHABI / UAE CAIRO AIRPORT,EGYPT,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
32,CARTAGENA LUBE BASE OIL COMPLEX-PHASE 2 IN - CARTAGENA / SPAIN,CARTAGENA LUBE BASE OIL COMPLEX-PHASE 2 IN - CARTAGENA / SPAIN,CARTAGENA LUBE BASE OIL COMPLEX-PHASE 2 IN - CARTAGENA,SPAIN,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
33,CE/448B/2007 - INVESTMENT RESIDENCES & JEBEL ALI HORSE RACE COURSE 132/11 KV SUBSTATIONS AND ASSOCIATE WORKS / BAHRAIN,CE/448B/2007 - INVESTMENT RESIDENCES & JEBEL ALI HORSE RACE COURSE || 132/11 KV SUBSTATIONS AND ASSOCIATE WORKS / BAHRAIN,CE/448B/2007 - INVESTMENT RESIDENCES & JEBEL ALI HORSE RACE COURSE 132/11 KV SUBSTATIONS AND ASSOCIATE WORKS,BAHRAIN,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
34,"CENTRAL PROCESSING FACILITY (CPF), KHAZZAN PROJECT / OMAN","CENTRAL PROCESSING FACILITY (CPF), KHAZZAN PROJECT / OMAN","CENTRAL PROCESSING FACILITY (CPF), KHAZZAN PROJECT",OMAN,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
35,CHEMICAL AND REFINING INTEGRATED SINGAPORE PLANT (CRISP),CHEMICAL AND REFINING INTEGRATED SINGAPORE PLANT (CRISP),CHEMICAL AND REFINING INTEGRATED SINGAPORE PLANT (CRISP),,no slash suffix,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
36,CITY OF ARABIA - MM17 WADI WALK - DUBAI / UAE,CITY OF ARABIA - MM17 WADI WALK - DUBAI / UAE,CITY OF ARABIA - MM17 WADI WALK - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
37,CLEAN FUEL PROJECT / THAILAND,CLEAN FUEL PROJECT / THAILAND,CLEAN FUEL PROJECT,THAILAND,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
38,"CLEAN FUELS, MAB-1 / KUWAIT","CLEAN FUELS, MAB-1 / KUWAIT","CLEAN FUELS, MAB-1",KUWAIT,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
39,COMPRESSION STATION AND GAS REINJECTION OF ZCINA-HMD / NORTH ALGERIA,COMPRESSION STATION AND GAS REINJECTION OF ZCINA-HMD / NORTH ALGERIA,COMPRESSION STATION AND GAS REINJECTION OF ZCINA-HMD,NORTH ALGERIA,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
40,"COMPRESSION STATION AT HASSI R’ MEL GR5 GAS PIPELINE, ALGERIA FOR COMPANY","COMPRESSION STATION AT HASSI R’ MEL GR5 GAS PIPELINE, || ALGERIA FOR COMPANY","COMPRESSION STATION AT HASSI R’ MEL GR5 GAS PIPELINE, ALGERIA FOR COMPANY",,no slash suffix,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
41,COMPRESSION STATION OF THE OFFSHORE PROCESSING FACILITY IN THE SAKHALIN ISLAND OF THE RUSSIAN FEDERATION,COMPRESSION STATION OF THE OFFSHORE PROCESSING FACILITY IN THE || SAKHALIN ISLAND OF THE RUSSIAN FEDERATION,COMPRESSION STATION OF THE OFFSHORE PROCESSING FACILITY IN THE SAKHALIN ISLAND OF THE RUSSIAN FEDERATION,,no slash suffix,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
42,CONSTRUCTION OF DUJA TOWER 4B+G+50 FLOORS+MECH+HC+ROOF COMMERCIAL/RESIDENTIAL TOWER PLOT NO(335-107) - DUBAI /UAE,CONSTRUCTION OF DUJA TOWER 4B+G+50 FLOORS+MECH+HC+ROOF COM- || MERCIAL/RESIDENTIAL TOWER PLOT NO(335-107) - DUBAI /UAE,CONSTRUCTION OF DUJA TOWER 4B+G+50 FLOORS+MECH+HC+ROOF COMMERCIAL/RESIDENTIAL TOWER PLOT NO(335-107) - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
43,CONSTRUCTION OF NEW BLDG FOR 11KV SWITCH GEARS / OMAN,CONSTRUCTION OF NEW BLDG FOR 11KV SWITCH GEARS / OMAN,CONSTRUCTION OF NEW BLDG FOR 11KV SWITCH GEARS,OMAN,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
44,"CPF PHASE 1, BADRA OIL FIELD PROJECT / IRAQ","CPF PHASE 1, BADRA OIL FIELD PROJECT / IRAQ","CPF PHASE 1, BADRA OIL FIELD PROJECT",IRAQ,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
45,DALMA GAS DEVELOPMENT / UAE,DALMA GAS DEVELOPMENT / UAE,DALMA GAS DEVELOPMENT,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
46,DHE - B095 - PALM HILLS VILLA (PA03B) - MAIN CONTRACT WORKS / EGYPT,DHE - B095 - PALM HILLS VILLA (PA03B) - MAIN CONTRACT WORKS / EGYPT,DHE - B095 - PALM HILLS VILLA (PA03B) - MAIN CONTRACT WORKS,EGYPT,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
47,DNO MIDDLE EAST HAWLER 2 / IRAQ,DNO MIDDLE EAST HAWLER 2 / IRAQ,DNO MIDDLE EAST HAWLER 2,IRAQ,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
48,DNO MIDDLE EAST TAWKE / IRAQ,DNO MIDDLE EAST TAWKE / IRAQ,DNO MIDDLE EAST TAWKE,IRAQ,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
49,DOHA NORTH PUMPING & SEWAGE TREATMENT PLANT / QATAR,DOHA NORTH PUMPING & SEWAGE TREATMENT PLANT / QATAR,DOHA NORTH PUMPING & SEWAGE TREATMENT PLANT,QATAR,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
50,DOLPHIN ENERGY / QATAR,DOLPHIN ENERGY / QATAR,DOLPHIN ENERGY,QATAR,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
51,DOST BILIM MEDICINE FACTORY - ISTANBUL / TURKIYE,DOST BILIM MEDICINE FACTORY - ISTANBUL / TURKIYE,DOST BILIM MEDICINE FACTORY - ISTANBUL,TURKIYE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
52,DUBAI METRO AL QUSAIS CAR PARK - DUBAI / UAE,DUBAI METRO AL QUSAIS CAR PARK - DUBAI / UAE,DUBAI METRO AL QUSAIS CAR PARK - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
53,EBLA GAA PROJECT / SYRIA,EBLA GAA PROJECT / SYRIA,EBLA GAA PROJECT,SYRIA,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
54,EFFLUENT WATER INJECTION PHASE-01 & SEA WATER INJECTION PHASE 2 / KUWAIT,EFFLUENT WATER INJECTION PHASE-01 & SEA WATER INJECTION PHASE 2 || / KUWAIT,EFFLUENT WATER INJECTION PHASE-01 & SEA WATER INJECTION PHASE 2,KUWAIT,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
55,EL MERK CENTRAL PROCESSING FACILITY / ALGERIA,EL MERK CENTRAL PROCESSING FACILITY / ALGERIA,EL MERK CENTRAL PROCESSING FACILITY,ALGERIA,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
56,"EMAAR SOUTH GREENVIEW TOWNHOMES, COMMUNITY CENTRE AND GUARD HOUSE / UAE","EMAAR SOUTH GREENVIEW TOWNHOMES, COMMUNITY CENTRE AND GUARD || HOUSE / UAE","EMAAR SOUTH GREENVIEW TOWNHOMES, COMMUNITY CENTRE AND GUARD HOUSE",UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
57,"EMERK PROJECT , CENTRAL PROCESSING FACILITY & TELECOM - ALGERIA","EMERK PROJECT , CENTRAL PROCESSING FACILITY & TELECOM - ALGERIA","EMERK PROJECT , CENTRAL PROCESSING FACILITY & TELECOM - ALGERIA",,no slash suffix,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
58,EPC & C FOR 33 & 11 KV DISTRIBUTION SYSTEM / BAHRAIN,EPC & C FOR 33 & 11 KV DISTRIBUTION SYSTEM / BAHRAIN,EPC & C FOR 33 & 11 KV DISTRIBUTION SYSTEM,BAHRAIN,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
59,"EPC FOR AL DABBIYA THAMAMA TRANSITION ZONE B DEVELOPMENT, PHASE II PROJECT - ABU DHABI / UAE","EPC FOR AL DABBIYA THAMAMA TRANSITION ZONE B DEVELOPMENT, PHASE || II PROJECT - ABU DHABI / UAE","EPC FOR AL DABBIYA THAMAMA TRANSITION ZONE B DEVELOPMENT, PHASE II PROJECT - ABU DHABI",UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
60,EPC FOR BAB FACILITIES - ABU DHABI / UAE,EPC FOR BAB FACILITIES - ABU DHABI / UAE,EPC FOR BAB FACILITIES - ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
61,EPC FOR DALMA GAS DEVELOPMENT PROJECT - ABU DHABI / UAE,EPC FOR DALMA GAS DEVELOPMENT PROJECT - ABU DHABI / UAE,EPC FOR DALMA GAS DEVELOPMENT PROJECT - ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
62,EPC FOR RHCU ISBL AND FEED OSBL / LITHUANIA,EPC FOR RHCU ISBL AND FEED OSBL / LITHUANIA,EPC FOR RHCU ISBL AND FEED OSBL,LITHUANIA,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
