entry_no,catalog_display_name,logo_identity_as_printed,address_and_contact_as_printed,source_pdf_page,source_printed_page,row_on_page,logo_filename,company_card_filename,verification_status,verification_note
13,Thales International Middle East (Branches),Bukamal,"P.O. Box 5682, Manama | 101, Salmaniya Pearl, Road 5616, Bldg. 109 Wali Bldg. 280, Blk 356 Salmaniya | Kingdom of Bahrain",125,123,7,low-resolution/logos/13-thales-international-middle-east-branches.webp,technical-only/company-cards/13-thales-international-middle-east-branches-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,Bukamal logo is paired with a Thales company title in the catalogue.
14,Eurostrut / E-strut B.V.,Eurostrut,P.O Box 10025 3004 AA Roterdam | Ringersstraat 9 3125 BP Schiedam / The Netherlands | Tel: +31 (0) 10 522 33 51 Fax: +31 (0) 10 521 4951,126,124,1,site-ready/logos/14-eurostrut-e-strut-b-v.webp,technical-only/company-cards/14-eurostrut-e-strut-b-v-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
15,NETZER Electrical Engineering LTD.,netzer,Moshaw Balfuria | Tel: +972-4-659 22-44 Fax: +972-4-659 -23 04 | Email: sales@sche-netzer.com,126,124,2,site-ready/logos/15-netzer-electrical-engineering-ltd.webp,technical-only/company-cards/15-netzer-electrical-engineering-ltd-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
16,ZAO GERSAN-R,ZAO GERSAN-R,"238440,Russia,Kaliningradskaya obl.,Bagrationovskii r-n.,pos. Razdolnoe, Papenburgskaya ul. 2. | Tel: +7 4015 666 358 - +7 4012 341 242 | www.gersan-r.ru gersan-r@gersan.com.tr",126,124,3,site-ready/logos/16-zao-gersan-r.webp,technical-only/company-cards/16-zao-gersan-r-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,Catalogue-only historic corporate reference; current status was not checked.
17,RTI S.p.A.,TECHNOSTEEL,"Via Ambrosoli, 2/A 20090 | Rodano Millepini (MI) - Italy | Tel: +39 02 95328610 Fax: +39 02 95328611",126,124,4,site-ready/logos/17-rti-s-p-a.webp,technical-only/company-cards/17-rti-s-p-a-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,Technosteel logo is paired with the title RTI S.p.A.
18,Electromechanical & Technical Associates Co. Ltd,Alfaneyah / Electromechanical & Technical Associates Co. Ltd,"Suite 1101, 1102, 1104, 11th Floor, Al-Murjan Tower, Hail Street, | PB 6591 Jeddah 21452, Kingdom of Saudi Arabia | Phone: +966 12 6529000 Fax: +966 12 6529090",126,124,7,site-ready/logos/18-electromechanical-and-technical-associates-co-ltd.webp,technical-only/company-cards/18-electromechanical-and-technical-associates-co-ltd-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
19,Powerbreeze Engineering LTD.,POWER BREEZE,"House No - 9/5, Lane No-1, Block-B Section - 6, MIRPUR, | DHAKA-1216 BANGLADESH Tel: +88-02-8035388 Fax: +88-02-9014847 | http://www.powerbreezebd.com/",127,125,1,low-resolution/logos/19-powerbreeze-engineering-ltd.webp,technical-only/company-cards/19-powerbreeze-engineering-ltd-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
20,ETS CAPORAL ET MORETTI S.A.L,ETS CAPORAL ET MORETTI S.A.L,"125 Corniche Du FLeuve, Saphir Immobiliare Sal | Bldg. BEIRUT-LEBANON | Tel: +961-1-444555 Fax: +961-1-446688",127,125,2,low-resolution/logos/20-ets-caporal-et-moretti-s-a-l.webp,technical-only/company-cards/20-ets-caporal-et-moretti-s-a-l-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
21,ENSYTEC,ENSYTEC,"Ukraine, Kiev, st. Boryspilska 7, office 116 | Tel/fax: +38(044)5006859 | info@ensytec.com.ua",127,125,3,site-ready/logos/21-ensytec.webp,technical-only/company-cards/21-ensytec-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,Catalogue-only address/contact details; current status was not checked.
22,Nexans,Nexans,"4-10 rue Mozart, Le Christophe 2 | 92587 Clichy cedex | France",127,125,4,site-ready/logos/22-nexans.webp,technical-only/company-cards/22-nexans-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
23,Croon TBI techniek,croon TBI techniek,"P.O. Box 5682, Manama | 101, Salmaniya Pearl, Road 5616, Bldg. 109 Wali Bldg. 280, Blk 356 Salmaniya | Kingdom of Bahrain",127,125,5,site-ready/logos/23-croon-tbi-techniek.webp,technical-only/company-cards/23-croon-tbi-techniek-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,The Bahrain address is preserved as printed and was not reconciled with the logo/company identity.
24,MANA CONTROL Co.,MCS MANA CONTROL SYSTEM,www.manacontrol.com,127,125,6,low-resolution/logos/24-mana-control-co.webp,technical-only/company-cards/24-mana-control-co-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
25,Polarvista,polarvista,"FLAT/ROOM 1208,KAI TAK COMMERCIAL | BUILDING,317-319 DES VOEUX ROAD CENTRAL, | HONG KONG",127,125,7,low-resolution/logos/25-polarvista.webp,technical-only/company-cards/25-polarvista-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
26,HUSSAIN & CO,HUSSAIN&CO,"WSA - 06, Block-18 F. B. Area (Industrial) Karachi, Pakistan. | Phone: 0092-21-36341930, 36367002 Fax: 0092-21-36829633 | Email: info@hussain-co.com URL: www.hussain-co.com",128,126,1,low-resolution/logos/26-hussain-and-co.webp,technical-only/company-cards/26-hussain-and-co-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
27,Kurgan-Balt,КУРГАН-БАЛТ,"238324 Калининградская обл., Гурьевский р-н, | Пос. Невское, ул. Совхозная,3 | Tel: . (4012) 777-045",128,126,3,site-ready/logos/27-kurgan-balt.webp,technical-only/company-cards/27-kurgan-balt-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,Catalogue-only historic corporate reference; current status was not checked.
28,Electricity and Water Authority (EWA),EWA,"P.O. Box:2 Manama, Kingdom of Bahrain | Tel: +973 17515555 | https://www.ewa.bh customercare@ewa.bh",128,126,4,site-ready/logos/28-electricity-and-water-authority-ewa.webp,technical-only/company-cards/28-electricity-and-water-authority-ewa-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
29,Emirates Electrical Engineering LLC,Emirates Electrical Engineering LLC,"P.O. Box. 16482 Dubai, United Arab Emirates | Tel: +971 4 4543400 | https://eee-uae.com",128,126,5,low-resolution/logos/29-emirates-electrical-engineering-llc.webp,technical-only/company-cards/29-emirates-electrical-engineering-llc-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
30,Abu Dhabi National Oil Company,ADNOC,"West Corniche Street, PO Box 898, | Abu Dhabi, United Arab Emirates | Tel: +971 2 7070000 https://www.adnoc.ae",128,126,6,site-ready/logos/30-abu-dhabi-national-oil-company.webp,technical-only/company-cards/30-abu-dhabi-national-oil-company-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
31,Petroleum Development Oman (PDO),Petroleum Development Oman,"Postal Office Box 81, Postal Code 100 | Headquarters, Muscat, Sultanate of Oman | Tel: +968 24678111 https://www.pdo.co.om",129,127,1,site-ready/logos/31-petroleum-development-oman-pdo.webp,technical-only/company-cards/31-petroleum-development-oman-pdo-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
32,ЭнергоСервис,ЭнергоСервис,"Россия. Калининград. Ул. Эпроновская, 4-6. | tel: . +7 (4012) 63-15-07",129,127,2,site-ready/logos/32-.webp,technical-only/company-cards/32--card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,Catalogue-only historic corporate reference; current status was not checked.
33,LOKYS,LOKYS,"92266, Lithuania, Klaipeda, Str Pusyno skg. 1 | Tel: +370 673 14 876 - +370 671 52 500 | Tel: +370 673 14 865 | Email: gersan-lt@gersan.com.tr",129,127,3,site-ready/logos/33-lokys.webp,technical-only/company-cards/33-lokys-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
34,Rainbow Machinery Solutions Pvt Ltd,rainbow,"S-3, Naveen Apartments, 10, 13th Main, | Palace Road,Vasanthnagar, Bangalore - 560052 | +91 80 41611980",129,127,4,low-resolution/logos/34-rainbow-machinery-solutions-pvt-ltd.webp,technical-only/company-cards/34-rainbow-machinery-solutions-pvt-ltd-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
35,TECS TECHNICAL SUPPLIES,TECS,"Building No 341-2,Way No 9993 Opposite to Rusayl Hotel, | Rusayl Industrial Area P.O. Box - 130, P.C. - 124. | Muscat, Sultanate Of Oman Tel: +968 24445426-430 Ext – 341 | https://www.tecsintl.com",129,127,5,site-ready/logos/35-tecs-technical-supplies.webp,technical-only/company-cards/35-tecs-technical-supplies-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
36,TECNICAS REUNIDAS - ABU DHABI,TECNICAS REUNIDAS,"Capital Plaza Complex | Office Tower - Podium 6 (P6) Corniche Road East | P.O. Box 55414, Abu Dhabi / U.A.E. | +971 2 665 4062",129,127,6,site-ready/logos/36-tecnicas-reunidas-abu-dhabi.webp,technical-only/company-cards/36-tecnicas-reunidas-abu-dhabi-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
37,Dubai Electricity & Water Authority (DEWA),dewa,"Al Hudaiba, Street 7, Gate 14, Opposite to Umar Bin Al Khattab Mosque / U.A.E. | Tel: +971 4 6019999 https://www.dewa.gov.ae",130,128,1,site-ready/logos/37-dubai-electricity-and-water-authority-dewa.webp,technical-only/company-cards/37-dubai-electricity-and-water-authority-dewa-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
38,Extol International L.L.C.,Extol International L.L.C.,"Office no. 101, First Floor, Sheikh Khalifa Street, Al Ghumlasi Tower, | P.O.Box. 22017 Ajman / U.A.E. | Tel: +971 6 7412990 https://www.extolintl.com",130,128,2,low-resolution/logos/38-extol-international-l-l-c.webp,technical-only/company-cards/38-extol-international-l-l-c-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
39,Kuwait Oil Company (K.S.C.),Kuwait Oil Company,"P.O. Box 9758 Ahmadi 61008 Ahmadi, Kuwait Tel: +965 23989111 | https://www.kockw.com | E-mail: kocinfo@kockw.com",130,128,3,site-ready/logos/39-kuwait-oil-company-k-s-c.webp,technical-only/company-cards/39-kuwait-oil-company-k-s-c-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
40,Qatar Energy,QatarEnergy,"P.O. Box 3212, Doha, Qatar | Tel: +974 40135583 | https://www.qatarenergy.qa",130,128,4,site-ready/logos/40-qatar-energy.webp,technical-only/company-cards/40-qatar-energy-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
41,Abu Dhabi Water & Electricity Authority,Abu Dhabi Water & Electricity Authority,Commercial Department PO Box: 70. Safat – 13001. Kuwait | Tel: +965 23989900 https://www.knpc.com | https://www.knpc.com,130,128,5,site-ready/logos/41-abu-dhabi-water-and-electricity-authority.webp,technical-only/company-cards/41-abu-dhabi-water-and-electricity-authority-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,The company identity and KNPC contact block appear mismatched in the catalogue and are preserved without correction.
42,Kuwait National Petroleum Company (KNPC),KNPC,Commercial Department PO Box: 70. Safat – 13001. Kuwait | Tel: +965 23989900 | https://www.knpc.com,130,128,6,site-ready/logos/42-kuwait-national-petroleum-company-knpc.webp,technical-only/company-cards/42-kuwait-national-petroleum-company-knpc-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
